city,luas_wilayah,penduduk,density,ibu_kabupaten,jumlah_kecamatan
Maybrat Regency,"5,461.69","44,812",8.2/km,Kumurkek,24
Sorong Regency,"13,075.28","125,949",9.6/km,Aimas,30
Merauke Regency,"45,025.91","232,357",5.2/km,Merauke,22
Jayawijaya Regency,"13,925.31","277,923",20/km,Wamena,40
Nabire Regency,"12,010.65","173,043",14/km,Nabire,15
Paniai Regency,"6,525.25","227,254",35/km,Enarotali,24
Puncak Jaya Regency,"6,515","231,499",36/km,Mulia,26
Mimika Regency,"21,693.51","321,657",15/km,Timika,19
Boven Digoel Regency,"27,108.29","65,193",2.4/km,Tanah Merah,20
Mappi Regency,"25,609.94","111,141",4.3/km,Kepi,15
Asmat Regency,"31,983.44","113,524",3.5/km,Agats,23
Yahukimo Regency,"17,152","361,776",21/km,Dekai,51
Bintang Mountains Regency,"15,683","78,466",5.0/km,Oksibil,34
Tolikara Regency,"14,564.0","244,345",17/km,Karubaga,46
Nduga Regency,"12,941","109,630",8.5/km,Kenyam,32
Lanny Jaya Regency,"6,077.4","201,461",33/km,Tiom,39
Central Mamberamo Regency,"3,743.64","51,719",14/km,Kobakma,5
Yalimo Regency,"4,330.29","105,139",24/km,Elelim,5
Puncak Regency,"7,396.47","116,279",16/km,Ilaga,25
Dogiyai Regency,"7,052.92","119,815",17/km,Kigamani,9
Intan Jaya Regency,"3,922.02","139,236",36/km,Sugapa,8
Deiyai Regency,"1,012.67","102,168",100/km,Waghete,5
